region	group1	group2	group3	group4
ORI	0.00545	0.252376	0.062371	0.679803
ORI	0.010941	0.222718	0.104073	0.662267
ORI	1e-05	0.318604	0.066658	0.614728
ORI	0.000786	0.526304	0.020268	0.452643
ORI	0.005493	0.364878	0.051501	0.578127
ORI	0.006004	0.323434	0.046584	0.623977
ORI	0.00745	0.359811	0.044918	0.587822
ORI	1e-05	0.352154	0.06542	0.582416
ORI	0.005329	0.003598	0.006627	0.984445
ORI	1e-05	0.335957	0.067518	0.596515
ORI	1e-05	0.523082	0.037601	0.439307
ORI	0.008569	0.150667	0.038454	0.80231
ORI	1e-05	0.349524	0.044342	0.606125
ORI	0.003401	0.205932	0.038039	0.752628
ORI	0.000225	0.318839	0.04432	0.636615
ORI	0.000898	0.329049	0.045203	0.62485
ORI	0.006075	0.409997	0.080064	0.503863
ORI	1e-05	0.341971	0.052668	0.605351
ORI	0.000303	0.402341	0.061813	0.535543
ORI	1e-05	0.417839	0.023183	0.558968
ORI	0.001878	0.300187	0.043196	0.654739
ORI	1e-05	0.34979	0.061362	0.588839
ORI	0.009413	0.056937	0.008535	0.925116
ORI	0.000977	0.326452	0.05298	0.619591
ORI	0.006775	0.250317	0.053877	0.689031
ORI	0.005477	0.267143	0.070349	0.657031
ORI	0.006756	0.192995	0.065279	0.73497
ORI	1e-05	0.221676	0.068542	0.709772
ORI	1e-05	0.34914	0.043213	0.607637
ORI	1e-05	0.3125	0.046073	0.641417
ORI	0.005262	0.206172	0.069236	0.71933
ORI	1e-05	0.352584	0.059915	0.587491
ORI	1e-05	0.28907	0.03753	0.67339
ORI	0.005807	0.268846	0.040017	0.68533
ORI	0.004193	0.283423	0.035489	0.676896
ORI	1e-05	0.436088	0.050543	0.513358
ORI	1e-05	0.32804	0.058517	0.613433
ORI	0.009051	0.341698	0.049931	0.59932
ORI	1e-05	0.316026	0.048646	0.635318
ORI	0.000657	0.154576	0.01508	0.829687
ORI	0.014462	0.355736	0.036426	0.593375
ORI	0.007481	0.24727	0.058491	0.686757
ORI	1e-05	0.695391	0.024534	0.280065
ORI	1e-05	0.349882	0.076399	0.573709
ORI	1e-05	0.310442	0.042295	0.647253
ORI	0.009996	0.004076	0.013822	0.972106
ORI	1e-05	0.370915	0.067676	0.561399
ORI	1e-05	0.392987	0.051569	0.555434
ORI	1e-05	0.547615	0.033096	0.419278
ORI	0.00646	0.265656	0.033706	0.694178
ORI	1e-05	0.306462	0.053195	0.640333
ORI	0.005494	0.361703	0.06967	0.563133
ORI	1e-05	0.333815	0.054437	0.611738
ORI	1e-05	0.200869	0.069074	0.730048
ORI	0.005218	0.00446	2.8e-05	0.990293
ORI	0.000458	0.215221	0.08739	0.69693
ORI	1e-05	0.359303	0.028725	0.611962
ORI	0.006111	0.350685	0.051898	0.591306
ORI	0.03558	0.168693	0.095234	0.700493
ORI	1e-05	0.263534	0.043314	0.693142
ORI	0.000482	0.339797	0.041392	0.618329
ORI	1e-05	0.32511	0.090944	0.583936
ORI	0.004211	0.245504	0.082208	0.668078
ORI	1e-05	0.522456	0.046885	0.430649
ORI	0.008167	0.233054	0.048023	0.710756
ORI	0.014208	0.166502	0.069425	0.749865
ORI	0.002952	0.315935	0.06477	0.616342
ORI	1e-05	0.287933	0.039984	0.672073
ORI	0.013292	0.004347	0.003266	0.979094
ORI	0.009857	0.007589	0.000319	0.982235
ORI	0.005579	0.316918	0.034349	0.643154
ORI	0.007772	0.035853	0.004613	0.951762
ORI	1e-05	0.298453	0.045768	0.655769
ORI	0.002859	0.28246	0.086752	0.627929
ORI	1e-05	0.340463	0.059861	0.599666
ORI	0.003515	0.282539	0.036578	0.677368
ORI	0.007259	0.306506	0.054026	0.632208
ORI	1e-05	0.351411	0.064696	0.583883
ORI	0.004294	0.215819	0.062662	0.717225
ORI	0.001063	0.377194	0.033119	0.588624
ORI	1e-05	0.290515	0.064379	0.645096
ORI	1e-05	0.185721	0.032551	0.781718
ORI	0.011479	0.006546	0.008749	0.973226
ORI	0.004758	0.292572	0.0503	0.652371
ORI	1e-05	0.42785	0.034011	0.538129
ORI	0.000255	0.471616	0.035182	0.492948
ORI	0.008588	0.325518	0.045583	0.620311
ORI	0.005608	0.360608	0.040222	0.593562
ORI	1e-05	0.59516	0.051142	0.353688
ORI	0.002097	0.301535	0.078588	0.617779
ORI	0.008655	0.200453	0.033523	0.75737
ORI	0.01134	0.02467	0.002403	0.961587
ORI	1e-05	0.393096	0.069034	0.53786
ORI	0.003644	1e-05	1e-05	0.996336
ORI	0.00661	0.304068	0.056098	0.633224
ORI	1e-05	0.352063	0.052986	0.594941
ORI	1e-05	0.450278	0.06475	0.484962
ORI	0.001577	0.169145	0.028134	0.801145
ORI	0.001357	0.347639	0.077076	0.573928
ORI	1e-05	0.497881	0.033319	0.46879
ORI	0.050367	0.075221	0.067423	0.806988
ORI	1e-05	0.39978	0.066313	0.533897
ORI	0.004201	0.279876	0.040586	0.675338
ORI	0.003467	7.7e-05	0.000111	0.996346
ORI	1e-05	0.469492	0.070033	0.460465
ORI	0.000542	0.358734	0.052489	0.588235
ORI	0.000257	0.336383	0.048913	0.614448
ORI	0.004056	0.332629	0.044585	0.61873
ORI	0.008095	0.330084	0.042416	0.619405
ORI	1e-05	0.344418	0.048964	0.606608
ORI	0.012265	0.007939	0.003672	0.976124
ORI	0.000464	0.358231	0.063475	0.577831
ORI	5.4e-05	0.608542	0.033617	0.357787
ORI	0.005606	0.001723	0.000558	0.992112
ORI	0.019587	0.061143	0.072331	0.846939
ORI	1e-05	0.506842	0.04751	0.445639
ORI	1e-05	0.426136	0.141866	0.431988
ORI	0.014974	0.049871	0.021798	0.913358
ORI	1e-05	0.367294	0.034425	0.598271
ORI	0.008012	0.270184	0.063585	0.658219
ORI	0.003286	0.001023	0.000443	0.995248
ORI	0.008928	0.000429	0.004665	0.985978
ORI	0.003249	0.186267	0.01652	0.793964
